reference,name,description,documentation-url,organisation,organisation-name,period-start-date,period-end-date,adoption-date
bath-and-north-east-somerset-council-local-plan-0,Bath and North East Somerset Council Local Plan 0,,,local-authority:BAS,Bath and North East Somerset Council,0,,
birmingham-city-council-local-plan-0,Birmingham City Council Local Plan 0,,,local-authority:BIR,Birmingham City Council,0,,
blackpool-borough-council-local-plan-0,Blackpool Borough Council Local Plan 0,,,local-authority:BPL,Blackpool Borough Council,0,,
bournemouth-christchurch-and-poole-council-local-plan-0,"Bournemouth, Christchurch and Poole Council Local Plan 0",,,local-authority:BPC,"Bournemouth, Christchurch and Poole Council",0,,
brighton-and-hove-city-council-local-plan-0,Brighton and Hove City Council Local Plan 0,,,local-authority:BNH,Brighton and Hove City Council,0,,
bristol-city-council-local-plan-0,Bristol City Council Local Plan 0,,,local-authority:BST,Bristol City Council,0,,
broadland-district-council-local-plan-0,Broadland District Council Local Plan 0,,,local-authority:BRO,Broadland District Council,0,,
broxtowe-borough-council-local-plan-0,Broxtowe Borough Council Local Plan 0,,,local-authority:BRT,Broxtowe Borough Council,0,,
buckinghamshire-council-local-plan-0,Buckinghamshire Council Local Plan 0,,,local-authority:BUC,Buckinghamshire Council,0,,
bury-metropolitan-borough-council-local-plan-0,Bury Metropolitan Borough Council Local Plan 0,,,local-authority:BUR,Bury Metropolitan Borough Council,0,,
derbyshire-county-council-local-plan-0,Derbyshire County Council Local Plan 0,,,local-authority:DBY,Derbyshire County Council,0,,
devon-county-council-local-plan-0,Devon County Council Local Plan 0,,,local-authority:DEV,Devon County Council,0,,
essex-county-council-local-plan-2021,Essex County Council Local Plan 2021,,,local-authority:ESS,Essex County Council,2021,2025.0,
gloucestershire-county-council-local-plan-0,Gloucestershire County Council Local Plan 0,,,local-authority:GLS,Gloucestershire County Council,0,,
hertfordshire-county-council-local-plan-0,Hertfordshire County Council Local Plan 0,,,local-authority:HRT,Hertfordshire County Council,0,,
knowsley-metropolitan-borough-council-local-plan-0,Knowsley Metropolitan Borough Council Local Plan 0,,,local-authority:KWL,Knowsley Metropolitan Borough Council,0,,
leicestershire-county-council-local-plan-0,Leicestershire County Council Local Plan 0,,,local-authority:LEC,Leicestershire County Council,0,,25/09/2019
lewes-district-council-local-plan-0,Lewes District Council Local Plan 0,,,local-authority:LEE,Lewes District Council,0,2030.0,11/05/2016
liverpool-city-region-local-plan-0,Liverpool City Region Local Plan 0,,,local-authority:LCR,Liverpool City Region,0,,
london-borough-of-newham-local-plan-0,London Borough of Newham Local Plan 0,,,local-authority:NWM,London Borough of Newham,0,2038.0,
middlesbrough-borough-council-local-plan-0,Middlesbrough Borough Council Local Plan 0,,,local-authority:MDB,Middlesbrough Borough Council,0,,
north-east-combined-authority-local-plan-0,North East Combined Authority Local Plan 0,,,local-authority:NECA,North East Combined Authority,0,,
nottinghamshire-county-council-local-plan-0,Nottinghamshire County Council Local Plan 0,,,local-authority:NTT,Nottinghamshire County Council,0,,
rotherham-metropolitan-borough-council-local-plan-0,Rotherham Metropolitan Borough Council Local Plan 0,,,local-authority:ROT,Rotherham Metropolitan Borough Council,0,,
sevenoaks-district-council-local-plan-2015,Sevenoaks District Council Local Plan 2015,,,local-authority:SEV,Sevenoaks District Council,2015,2035.0,22/02/2011
south-yorkshire-mayoral-combined-authority-local-plan-0,South Yorkshire Mayoral Combined Authority Local Plan 0,,,local-authority:SCR,South Yorkshire Mayoral Combined Authority,0,,
slough-borough-council-local-plan-2006,Slough Borough Council Local Plan 2006,,,local-authority:SLG,Slough Borough Council,2006,2026.0,16/12/2008
st-helens-council-local-plan-0,St Helens Council Local Plan 0,,,local-authority:SHN,St Helens Council,0,,
staffordshire-county-council-local-plan-0,Staffordshire County Council Local Plan 0,,,local-authority:STS,Staffordshire County Council,0,2030.0,
suffolk-county-council-local-plan-0,Suffolk County Council Local Plan 0,,,local-authority:SFK,Suffolk County Council,0,,
surrey-county-council-local-plan-0,Surrey County Council Local Plan 0,,,local-authority:SRY,Surrey County Council,0,,
surrey-heath-borough-council-local-plan-0,Surrey Heath Borough Council Local Plan 0,,,local-authority:SUR,Surrey Heath Borough Council,0,,
tameside-metropolitan-borough-council-local-plan-0,Tameside Metropolitan Borough Council Local Plan 0,,,local-authority:TAM,Tameside Metropolitan Borough Council,0,,
tees-valley-combined-authority-local-plan-0,Tees Valley Combined Authority Local Plan 0,,,local-authority:TVCA,Tees Valley Combined Authority,0,,
vale-of-white-horse-district-council-local-plan-0,Vale of White Horse District Council Local Plan 0,,,local-authority:VAL,Vale of White Horse District Council,0,,
walsall-metropolitan-borough-council-local-plan-0,Walsall Metropolitan Borough Council Local Plan 0,,,local-authority:WLL,Walsall Metropolitan Borough Council,0,,
warwick-district-council-local-plan-2011,Warwick District Council Local Plan 2011,,,local-authority:WAW,Warwick District Council,2011,2029.0,01/09/2017
warwickshire-county-council-local-plan-0,Warwickshire County Council Local Plan 0,,,local-authority:WAR,Warwickshire County Council,0,,
waverley-borough-council-local-plan-0,Waverley Borough Council Local Plan 0,,,local-authority:WAE,Waverley Borough Council,0,,
wealden-district-council-local-plan-0,Wealden District Council Local Plan 0,,,local-authority:WEA,Wealden District Council,0,,
west-berkshire-council-local-plan-0,West Berkshire Council Local Plan 0,,,local-authority:WBK,West Berkshire Council,0,,
west-devon-borough-council-local-plan-0,West Devon Borough Council Local Plan 0,,,local-authority:WDE,West Devon Borough Council,0,,
west-lancashire-borough-council-local-plan-0,West Lancashire Borough Council Local Plan 0,,,local-authority:WLA,West Lancashire Borough Council,0,,
west-lindsey-district-council-local-plan-0,West Lindsey District Council Local Plan 0,,,local-authority:WLI,West Lindsey District Council,0,,
west-midlands-combined-authority-local-plan-0,West Midlands Combined Authority Local Plan 0,,,local-authority:WMCA,West Midlands Combined Authority,0,,
west-of-england-combined-authority-local-plan-0,West of England Combined Authority Local Plan 0,,,local-authority:WECA,West of England Combined Authority,0,,
west-sussex-county-council-local-plan-0,West Sussex County Council Local Plan 0,,,local-authority:WSX,West Sussex County Council,0,,
west-yorkshire-combined-authority-local-plan-0,West Yorkshire Combined Authority Local Plan 0,,,local-authority:WYCA,West Yorkshire Combined Authority,0,,
wigan-metropolitan-borough-council-local-plan-0,Wigan Metropolitan Borough Council Local Plan 0,,,local-authority:WGN,Wigan Metropolitan Borough Council,0,,
wiltshire-council-local-plan-0,Wiltshire Council Local Plan 0,,,local-authority:WIL,Wiltshire Council,0,,
winchester-city-council-local-plan-0,Winchester City Council Local Plan 0,,,local-authority:WIN,Winchester City Council,0,,
wirral-borough-council-local-plan-0,Wirral Borough Council Local Plan 0,,,local-authority:WRL,Wirral Borough Council,0,,
