reference,name,document type,document-url,documentation-url,organisation,adopted-date,notes,entry-date,start-date,end-date
ADU/2,Infrastructure Funding Statement,IFS,"https://www.adur-worthing.gov.uk/media/Media,172394,smxx.pdf",https://www.adur-worthing.gov.uk/planning-policy/adur/adur-developer-contributions/developer-contributions-data-adur/#infrastructure-funding-statement,local-authority: ADU,,Infrastructure Funding Statement,,01/04/2023,31/03/2024
AMB/2,Infrastructure Funding Statement,IFS,https://info.ambervalley.gov.uk/docarc/docviewer.aspx?docguid=e3c61cf45a60473e8d67f32aa461cf46,https://www.ambervalley.gov.uk/planning/development-management/planning-obligations/,local-authority: AMB,,Infrastructure Funding Statement,,,
ARU/2,Infrastructure Funding Statement,IFS,https://www.arun.gov.uk/download/ar-arun-ifs-2324pdf.pdf?ver=27071&doc=docm93jijm4n21072.pdf,https://www.arun.gov.uk/ifs-and-developer-contributions,local-authority: ARU,,Infrastructure Funding Statement,,01/04/2023,31/03/2024
ASH/2,Infrastructure Funding Statement,IFS,https://www.ashfield.gov.uk/planning-building-control/planning-applications/section-106/,https://www.ashfield.gov.uk/media/jfgg3sx2/adc-ifs-2020_2021_accessible.pdf,local-authority: ASH,,,,01/04/2021,31/03/2022
ASF/2,Infrastructure Funding Statement,IFS,https://www.ashford.gov.uk/media/od0nq3xd/final-section-106-infrastructure-statement-2022_23.pdf,https://www.ashford.gov.uk/planning-and-development/planning-policy/developer-contributions/,local-authority: ASF,,,,01/04/2022,31/03/2023
BAB/2,Infrastructure Funding Statement,IFS,https://www.babergh.gov.uk/documents/d/asset-library-54706/bdc-infrastructure-funding-statement-22-23,"https://www.babergh.gov.uk/w/cil-collection-and-spending-duplicate-1#:~:text=The%20Infrastructure%20Funding%20Statement%20is,was%20completed%20from%202016%2D2019.",local-authority: BAB,,,,01/04/2022,31/03/2023
BNS/2,ANNUAL INFRASTRUCTURE FUNDING STATEMENT,IFS,https://www.barnsley.gov.uk/media/piqa0ic1/annual-infrastructure-funding-statement-2022-2023.pdf,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/our-local-plan/local-plan-research-and-evidence-documents/,local-authority: BNS,,,,01/04/2022,31/03/2023
BAI/2,Infrastructure Funding Statement 2023 - 2024 ,IFS,https://www.basildon.gov.uk/media/12196/Basildon-Borough-Council-Infrastructure-Funding-Statement-2023-2024/pdf/Basildon_Borough_Council_-_Infrastructure_Funding_Statement_2023_-_2024.pdf?m=1726055272230,https://www.basildon.gov.uk/article/9725/Infrastructure-Funding-Statement,local-authority: BAI,,,,01/04/2023,31/03/2024
BAN/2,Basingstoke and Deane annual infrastructure funding statement,IFS,https://www.basingstoke.gov.uk/content/doclib/4092.pdf,https://www.basingstoke.gov.uk/CIL#chapter82840,local-authority: BAN,,,,01/04/2022,31/03/2023
BAE/2,Infrastructure Funding Statement 2023 - 2024 ,IFS,https://www.bassetlaw.gov.uk/media/ya1bjskw/bdc-ifs-2023-24-website.pdf,https://www.bassetlaw.gov.uk/planning-and-building/planning-services/community-infrastructure-levy-cil/community-infrastructure-levy-annual-reports/district-council-infrastructure-funding-statements/,local-authority: BAE,,Dates are assumed as doc just says 2023/2024 ,,01/04/2023,31/03/2024
BDF/2,Infrastructure Funding Statement 2023 - 2024 ,IFS,https://www.bedford.gov.uk/files/infrastructure-funding-statement-202223.pdf/download?inline,https://www.bedford.gov.uk/planning-and-building-control/community-infrastructure-levy-cil/community-infrastructure-levy-cil,local-authority: BDF,,,,01/04/2022,31/03/2023
BLA/2,Infrastructure Funding Statement 2022/23,IFS,https://www.blaby.gov.uk/media/amgfywcx/infrastructure-funding-statement-november-2024.pdf,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/section-106-agreements/,local-authority: BLA,,,,01/04/2022,31/03/2023
BBD/2,Infrastructure Funding Statement 2023/24,IFS,https://blackburn-darwen.org.uk/wp-content/uploads/Infrastructure-Funding-Statement-2023_24.pdf,"https://www.blackburn.gov.uk/planning/planning-guides-resources-and-reference-materials/annual-infrastructure-funding-statements#:~:text=This%20report%20provides%20a%20summary,developments%20through%20section%20278%20agreements.",local-authority: BBD,,Dates are assumed as doc just says 2023/2024 ,,01/04/2022,31/03/2023
BOS/2,Infrastructure Funding Statement 2023/24,IFS,download from webpage,https://www.bolsover.gov.uk/index.php?option=com_content&view=article&id=326,local-authority: BOS,,Found via a Google search,,01/04/2022,31/03/2023
BOL/2,BOLTON COUNCIL INFRASTRUCTURE FUNDING STATEMENT: 2021/22,IFS,https://www.bolton.gov.uk/downloads/file/4599/infrastructure-funding-statement,https://www.bolton.gov.uk/planning-policy-strategy/developer-contributions,local-authority: BOL,,,,01/04/2021,31/03/2022
KIN/2,Infrastructure Funding Statement 2023/24,IFS,https://www.west-norfolk.gov.uk/download/downloads/id/8160/infrastructure_funding_statement_2022-23.pdf,https://www.west-norfolk.gov.uk/downloads/file/8160/infrastructure_funding_statement_2022-23,,,,,01/04/2022,31/03/2023
BPC/4,Infrastructure Funding Statement 2022/23,IFS,https://www.bcpcouncil.gov.uk/documents-old/planning-and-building-control/Infrastructure-Funding-Statement-2021-22.pdf,https://www.bcpcouncil.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy/poole-community-infrastructure-levy,local-authority: BPC,,,,01/04/2021,31/03/2022
BRC/2,Infrastructure Funding Statement 2022/23,IFS,https://www.bracknell-forest.gov.uk/sites/default/files/2023-12/infrastructure-funding-statement-2022-to-2023.pdf,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/community-infrastructure-levy/annual-return,local-authority: BRC,,,,01/04/2022,31/03/2023
BRA/2,Infrastructure Funding Statement 2022/23,IFS,"https://www.braintree.gov.uk/downloads/file/3670/infrastructure-funding-statement-2021-22#:~:text=Braintree%20District%20Council's%20annual%20Infrastructure,those%20contributions%20by%20Braintree%20District",https://www.braintree.gov.uk/planning-building-control/completed-section-106-agreements-balances-projects,local-authority: BRA,,,,01/04/2021,31/03/2022
BRE/2,Annual Infrastructure Funding Statement – 2022/2023,IFS,https://www.breckland.gov.uk/media/17745/Breckland-s-Infrastructure-Funding-Statement/pdf/Brecklands_Infrastructure_Funding_Statement_-_2022-23.pdf?m=1719400722383,https://www.breckland.gov.uk/article/16388/Infrastructure-Funding-Statements,local-authority: BRE,,,,01/04/2022,31/03/2023
BNH/2,Annual Infrastructure Funding Statement 2022/23 and Neighbourhood CIL Update,IFS,https://democracy.brighton-hove.gov.uk/documents/s194162/Annual%20Infrastructure%20Funding%20Statement%20and%20Neighbourhood%20CIL%20Update.pdf,https://democracy.brighton-hove.gov.uk/ieDecisionDetails.aspx?AIId=98471,local-authority: BNH,,,,01/04/2022,31/03/2023
BST/2,Bristol City Council Community Infrastructure Levy Report (2022/23) ,IFS,https://www.bristol.gov.uk/files/documents/7086-cil-report-2022-23,https://www.bristol.gov.uk/residents/planning-and-building-regulations/planning-applications/community-infrastructure-levy-cil-and-planning-obligations/infrastructure-funding-statement,local-authority: BST,,,,01/04/2022,31/03/2023
BRO/2,Broadland District Council Community Infrastructure Levy (CIL) Annual Infrastructure Funding Statement (IFS) for 1 April 2022 to 31 March 2023,IFS,https://www.southnorfolkandbroadland.gov.uk/asset-library/imported-assets/broadland-cil-annual-infrastructure-funding-statement-2022-2023.pdf,https://www.southnorfolkandbroadland.gov.uk/planning/community-infrastructure-levy/broadland-annual-reports/broadland-annual-reports,local-authority: BRO,,,,01/04/2022,31/03/2023
BRX/2,Infrastructure Funding Statement Planning Obligations 2022-2023,IFS,https://www.broxbourne.gov.uk/downloads/file/4071/ifs-2022-2023-final,https://www.broxbourne.gov.uk/planning/monitoring/3,local-authority: BRX,,,,01/04/2022,31/03/2023
BRT/2,INFRASTRUCTURE FUNDING STATEMENT 2022-2023,IFS,https://www.broxtowe.gov.uk/media/2zhaytop/infrastructure-funding-statement-2022-2023.pdf,https://www.broxtowe.gov.uk/for-you/planning/planning-policy/infrastructure-funding-statement/,local-authority: BRT,,,,01/04/2022,31/03/2023
BUC/2,Infrastructure Funding Statement,IFS,https://buckinghamshire-gov-uk.s3.amazonaws.com/documents/Infrastructure_Funding_Statement_2023.pdf,https://www.buckinghamshire.gov.uk/planning-and-building-control/planning-policy/planning-reporting/infrastructure-funding-statement/,local-authority: BUC,,,,01/04/2022,31/03/2023
BUR/2,Infrastructure Funding Statement,IFS,https://www.bury.gov.uk/asset-library/infrastructure-funding-statement-2022-23.pdf,https://www.bury.gov.uk/planning-building-control/policy-and-projects/planning-policy/evidence-and-monitoring/infrastructure-funding-statement,local-authority: BUR,,,,01/04/2022,31/03/2023
CAB/2,Infrastructure Funding Statement,IFS,https://www.cambridgeshire.gov.uk/asset-library/Infrastructure-Funding-Statement-Report-2022-23.pdf,https://www.cambridgeshire.gov.uk/business/planning-and-development/developing-new-communities/infrastructure-funding-statement,local-authority: CAB,,,,01/04/2022,31/03/2023
