reference,name,document type,document-url,documentation-url,organisation,adopted-date,notes,entry-date,start-date,end-date
CAM/2,Infrastructure Funding Statement,IFS,https://www.cambridgeshire.gov.uk/asset-library/Infrastructure-Funding-Statement-Report-2022-23.pdf,https://www.cambridgeshire.gov.uk/business/planning-and-development/developing-new-communities/infrastructure-funding-statement,local-authority: CAM,,"As Cambridgeshire County Council is not a Community Infrastructure Levy (CIL) charging authority, this statement will report solely on contributions sought under Section 106 of the Town and Country Planning Act 1990 (S106 contributions).",,01/04/2022,31/03/2023
CAN/2,Infrastructure Funding Statement,IFS,https://www.cannockchasedc.gov.uk/sites/default/files/document-library/Infrastructure%20Funding%20Statement%202022-23_0.pdf,"https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/community-infrastructure-levy-developer#:~:text=In%20Cannock%20Chase%20District%2C%20CIL,(see%20further%20information%20below).",local-authority: CAN,,,,01/04/2022,31/03/2023
CAT/2,Infrastructure Funding Statement,IFS,https://www.canterbury.gov.uk/sites/default/files/2024-01/Infrastructure%20Funding%20Statement%202022%20to%202023.pdf,https://www.canterbury.gov.uk/planning-and-building/planning-obligations/how-we-report-developer-contributions,local-authority: CAT,,,,01/04/2022,31/03/2023
CBF/2,Infrastructure Funding Statement,IFS,https://centralbedfordshirecouncil.sharepoint.com/:w:/r/sites/Communications/_layouts/15/Doc.aspx?sourcedoc=%7B9CEAEA60-08AD-44CD-B4E7-9158D461C680%7D&file=Infrastructure%20Funding%20Statement%20for%202023%20to%202024.docx&action=default&mobileredirect=true,https://centralbedfordshirecouncil.sharepoint.com/sites/Communications/Website%20and%20intranet/Forms/AllItems.aspx?id=%2Fsites%2FCommunications%2FWebsite%20and%20intranet%2FWebsite%20Documents%2FPlanning%2FPlanning%20obligations%2FInfrastructure%20funding%20statements&p=true&ga=1,local-authority: CBF,,,,01/04/2023,31/03/2024
CHA/2,Infrastructure Funding Statement,IFS,https://www.charnwood.gov.uk/files/documents/charnwood_infrastructure_funding_statement_2023_24/Charnwood%20Infrastructure%20Funding%20Statement%202023-24.pdf,https://www.charnwood.gov.uk/pages/infrastructure_funding_statements,local-authority: CHA,,,,,
CHL/2,Infrastructure Funding Statement,IFS,https://www.chelmsford.gov.uk/media/1lqdunlc/infrastructure-funding-statement-2022-23.pdf,https://www.chelmsford.gov.uk/planning-and-building-control/community-infrastructure-levy/how-we-spend-cil/,local-authority: CHL,,,,01/04/2022,31/03/2023
CHT/2,Infrastructure Funding Statement,IFS,https://www.cheltenham.gov.uk/download/downloads/id/9999/cil_infrastructure_funding_statement_2022-2023.pdf,https://www.cheltenham.gov.uk/info/46/planning_policy/1137/community_infrastructure_levy_cil/5,local-authority: CHT,,,,01/04/2022,31/03/2023
CHR/2,Infrastructure Funding Statement,IFS,https://www.cherwell.gov.uk/download/downloads/id/13774/infrastructure-funding-statement-2022-23.pdf,https://www.cherwell.gov.uk/info/115/planning-process/766/infrastructure-funding-statements,local-authority: CHR,,,,01/04/2022,31/03/2023
CHE/2,Infrastructure Funding Statement,IFS,https://www.cheshireeast.gov.uk/pdf/planning/spatial-planning/infrastructure-funding-statement-report-2022-2023.pdf,https://www.cheshireeast.gov.uk/planning/spatial-planning/infrastructure-funding-developer-contributions.aspx,local-authority: CHE,,,,01/04/2022,31/03/2023
CHW/2,Infrastructure Funding Statement,IFS,https://www.cheshirewestandchester.gov.uk/asset-library/2022-23-annual-infrastructure-funding-statement.pdf,https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/community-infrastructure-levy/cil-annual-reports,local-authority: CHW,,,,01/04/2022,31/03/2023
CHS/2,Infrastructure Funding Statement,IFS,https://www.chesterfield.gov.uk/media/rkzn52f3/infrastructure-funding-statement-2022-23.pdf,https://www.chesterfield.gov.uk/planning-and-building-control/planning-permission-and-development-management/cil-community-infrastructure-levy/,local-authority: CHS,,,,01/04/2022,31/03/2023
CHI/2,Infrastructure Funding Statement,IFS,https://www.chichester.gov.uk/media/39147/Infrastructure-Funding-Statement-2022-2023/doc/Infrastructure_Funding_Statement_2022-2023.docx?m=1701859199690,https://www.chichester.gov.uk/article/32695/Infrastructure-Funding-Statements-IFS-and-CIL-Annual-Monitoring-Reports-AMR,local-authority: CHI,,,,01/04/2022,31/03/2023
CHO/2,Infrastructure Funding Statement,IFS,https://chorley.gov.uk/downloads/file/217/ifs-the-cil-and-s106-financial-report-2022-23,https://chorley.gov.uk/community-infrastructure-levy-cil/infrastructure-funding-statements-annual-reports,local-authority: CHO,,,,01/04/2022,31/03/2023
BRD/2,Infrastructure Funding Statement,IFS,https://www.bradford.gov.uk/media/xixeaw3h/infrastructure-funding-statement-2022-2023.pdf,"https://www.bradford.gov.uk/planning-and-building-control/developer-contributions/infrastructure-funding-statement/#:~:text=The%20Infrastructure%20Funding%20Statement%20is,Authority%20over%20a%20particular%20period.",local-authority: BRD,,,,01/04/2022,31/03/2023
LIC/2,Infrastructure Funding Statement,IFS,https://www.lincoln.gov.uk/downloads/file/1517/community-infrastructure-levy-funding-statement-2022-2023,https://www.lincoln.gov.uk/planning/community-infrastructure-levy-cil/2,local-authority: LIC,,,,01/04/2022,31/03/2023
LND/2,Infrastructure Funding Statement,IFS,https://www.cityoflondon.gov.uk/assets/Services-Environment/local-plan-monitoring-planning-obligations-infrastructure-funding-statement-2022-2023.pdf,https://www.cityoflondon.gov.uk/services/planning/planning-policy/community-infrastructure-levy-cil-and-planning-obligations-s106,local-authority: LND,,,,01/04/2022,31/03/2023
WSM/2,Infrastructure Funding Statement,IFS,https://www.westminster.gov.uk/media/document/wcc-infrastructure-funding-statement-2022-2023,https://www.westminster.gov.uk/community-infrastructure-levy-cil/infrastructure-funding-statement-ifs,local-authority: WSM,,,,01/04/2022,31/03/2023
WLV/2,Infrastructure Funding Statement,IFS,https://www.wolverhampton.gov.uk/planning/infrastructure-funding-statement,https://www.wolverhampton.gov.uk/planning/infrastructure-funding-statement,local-authority: WLV,,,,01/04/2022,31/03/2023
YOR/2,Infrastructure Funding Statement,IFS,https://www.york.gov.uk/downloads/file/9380/infrastructure-funding-statement-2022-to-2023,https://www.york.gov.uk/downloads/download/950/infrastructure-funding-statement,local-authority: YOR,,,,01/04/2022,31/03/2023
COL/2,Infrastructure Funding Statement,IFS,https://cbccrmdata.blob.core.windows.net/noteattachment/CBC-null-Colchester-City-Council-Infrastructure-Funding-Statement-2022/23-Colchester%20City%20Council%20Infrastructure%20Funding%20Statement%202022-23.pdf,https://www.colchester.gov.uk/infrastructure-funding-statement/,local-authority: COL,,,,01/04/2022,31/03/2023
CON/2,Infrastructure Funding Statement,IFS,https://www.cornwall.gov.uk/media/ei1fdhyu/infrastructure-funding-statement-2023-24.pdf,https://www.cornwall.gov.uk/planning-and-building-control/developer-contributions/#infrastructure,local-authority: CON,,,,01/04/2023,31/03/2024
COT/2,Infrastructure Funding Statement,IFS,https://meetings.cotswold.gov.uk/documents/s7501/Cabinet%20Report%20IFS%202022%2023.pdf,https://meetings.cotswold.gov.uk/ieIssueDetails.aspx?IId=4351&PlanId=0&Opt=3#AI3155,local-authority: COT,,,,01/04/2022,31/03/2023
COV/2,Infrastructure Funding Statement,IFS,https://www.coventry.gov.uk/downloads/file/41378/infrastructure-funding-statement-2022-23,https://www.coventry.gov.uk/downloads/download/7383/infrastructure-funding-statement---current-documents,local-authority: COV,,,,01/04/2022,31/03/2023
CRW/2,Infrastructure Funding Statement,IFS,https://crawley.gov.uk/sites/default/files/2023-12/Infrastructure%20Funding%20Statement%202022%20to%202023.pdf,https://crawley.gov.uk/planning/planning-policy/community-infrastructure-levy/cil-and-section-106-income-and-expenditure,local-authority: CRW,,,,01/04/2022,31/03/2023
DAC/2   ,Infrastructure Funding Statement,IFS,https://www.dacorum.gov.uk/docs/default-source/strategic-planning/infrastructure-funding-statement-cil-and-s106-2022-to-2023.pdf?sfvrsn=afa6199e_2,https://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/developer-contributions,local-authority: DAC,,,,01/04/2022,31/03/2023
DAL/2,Infrastructure Funding Statement,IFS,https://www.darlington.gov.uk/media/21952/darlington_ifs_2022_2023v1.pdf,https://www.darlington.gov.uk/environment-and-planning/planning/development-management/planning-obligations-s106-agreements/,local-authority: DAL,,,,01/04/2022,31/03/2023
DAR/2,Infrastructure Funding Statement,IFS,https://www.dartford.gov.uk/downloads/file/1896/dartford-infrastructure-funding-statement-2022-23,https://www.dartford.gov.uk/downloads/download/1805/dartford-infrastructure-funding-statement-2021-22,local-authority: DAR,,,,01/04/2022,31/03/2023
DER/2,Infrastructure Funding Statement,IFS,https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/environmentandplanning/planning/planningpolicy/infrastructure-funding-statement-2022-23.pdf,https://www.derby.gov.uk/environment-and-planning/planning/policy/planning-policy-documents/#page-1,local-authority: DER,,,,01/04/2022,31/03/2023
DBY/2,Infrastructure Funding Statement,IFS,https://www.derbyshire.gov.uk/site-elements/documents/pdf/environment/planning/planning-policy/section-106-annual-infrastructure-funding-statement-2022-to-2023.pdf,https://www.derbyshire.gov.uk/environment/planning/planning-policy/infrastructure-planning/infrastructure-planning.aspx,local-authority: DBY,,,,01/04/2022,31/03/2023
DEB/2,Infrastructure Funding Statement,IFS,https://www.derbyshiredales.gov.uk/documents/infrastructure-funding-statement-2022-2023/download,https://www.derbyshiredales.gov.uk/planning/planning-applications-and-advice/section-106-agreement#h1,local-authority: DEB,,,,01/04/2022,31/03/2023
DEV/2,Infrastructure Funding Statement,IFS,https://devoncc.sharepoint.com/sites/PublicDocs/Planning/Planning/Forms/AllItems.aspx?id=%2Fsites%2FPublicDocs%2FPlanning%2FPlanning%2FOther%20Policy%20and%20Guidance%2FInfrastructure%20Funding%20Statement%2FInfrastructure%20Funding%20Statement%2020%2D21%20FINAL%2Epdf&parent=%2Fsites%2FPublicDocs%2FPlanning%2FPlanning%2FOther%20Policy%20and%20Guidance%2FInfrastructure%20Funding%20Statement&p=true&ga=1,https://www.devon.gov.uk/planning/planning-policies/other-county-policy-and-guidance/,local-authority: DEV,,,,01/04/2020,31/03/2021
DNC/2,Infrastructure Funding Statement,IFS,https://www.doncaster.gov.uk/Documents/DocumentView/Stream/Media/Default/Planning/Documents/Policy%20Monitoring/S106%20AMR/Section%20106%20Infrastructure%20Funding%20Statement%202022-23.pdf,https://www.doncaster.gov.uk/services/planning/monitoring-and-implementation,local-authority: DNC,,,,01/04/2022,31/03/2023
DST/5,Infrastructure Funding Statement,IFS,https://www.dorsetcouncil.gov.uk/documents/35024/301951/Infrastructure+Funding+Statement+2022-2023+-+December+2023.pdf/11c33445-4969-03ca-ec73-9b775185f6f8,https://www.dorsetcouncil.gov.uk/w/dorset-council-community-infrastructure-levy,local-authority: DST,,,,01/04/2022,31/03/2023
DOV/2,Infrastructure Funding Statement,IFS,https://www.dover.gov.uk/Planning/Planning-Policy/PDF/IFS/Infrastructure-Funding-Statement-2023-24.pdf,https://www.dover.gov.uk/Planning/Planning-Policy/Infrastructure-Delivery-and-S106-Obligations/Home.aspx,local-authority: DOV,,,,01/04/2023,31/03/2024
DUD/2,Infrastructure Funding Statement,IFS,https://www.dudley.gov.uk/media/b3pjddjg/infrastructure-funding-statement-2023.pdf,https://www.dudley.gov.uk/residents/planning/planning-policy/dudley-local-plan/community-infrastructure-levy/,local-authority: DUD,,,,01/04/2022,31/03/2023
DUR/2,Infrastructure Funding Statement,IFS,https://durham1-prd.gosshosted.com/media/45102/Durham-County-Council-Infrastructure-Funding-Statement-2023-2024/pdf/InfrastructureFundingStatement2023to2024.pdf?m=1721812822847,https://durham1-prd.gosshosted.com/article/8284/View-our-planning-policies,local-authority: DUR,,,,01/04/2023,31/03/2024
ECA/2,Infrastructure Funding Statement,IFS,https://www.eastcambs.gov.uk/sites/default/files/IFS%202022-23%20Final.pdf,https://www.eastcambs.gov.uk/planning/developer-contributions,local-authority: ECA,,,,01/04/2022,31/03/2023
EDE/2,Infrastructure Funding Statement,IFS,https://eastdevon.gov.uk/media/xc5bpvzg/2022-2023-eddc-ifs-final.pdf,https://eastdevon.gov.uk/planning/community-infrastructure-levy-cil/cil-annual-reports/,local-authority: EDE,,,,01/04/2022,31/03/2023
EHA/2,Infrastructure Funding Statement,IFS,https://www.easthants.gov.uk/media/8682/download?inline,https://www.easthants.gov.uk/planning-services/planning-policy/community-infrastructure-levy-cil/cil-and-s106-monitoring/cil-and,local-authority: EHA,,,,01/04/2022,31/03/2023
EHE/2,Infrastructure Funding Statement,IFS,https://www.eastherts.gov.uk/about-east-herts-0/east-herts-annual-infrastructure-funding-statements,https://cdn-eastherts.onwebcurl.com/s3fs-public/2023-12/2022-23%20East%20Herts%20Infrastructure%20Funding%20Statement%20.pdf,local-authority: EHE,,,,,
ELI/2,Infrastructure Funding Statement,IFS,https://www.e-lindsey.gov.uk/media/24587/Infrastructure-Funding-Statement-2022-23/pdf/ELDC_IFS_2022-23.pdf?m=1709119360310,https://www.e-lindsey.gov.uk/article/6090/Section-106-obligations-and-Infrastructure-Funding-Statement,local-authority: ELI,,,,01/04/2022,31/03/2023
EST/2,Infrastructure Funding Statement,IFS,https://www.eaststaffsbc.gov.uk/sites/default/files/docs/planning/planningpolicy/ESBC%20IFS_2023.24_FINAL.pdf,https://www.eaststaffsbc.gov.uk/planning/planning-policy/infrastructure-funding-statement,local-authority: EST,,,,01/04/2023,31/03/2024
ESK/2,Infrastructure Funding Statement,IFS,https://www.eastsuffolk.gov.uk/assets/Planning/East-Suffolk-Infrastructure-Funding-Statement-2022-23.pdf,https://www.eastsuffolk.gov.uk/planning/developer-contributions/infrastructure-funding-statement/,local-authority: ESK,,,,01/04/2022,31/03/2023
ESX/2,Infrastructure Funding Statement,IFS,https://www.lewes-eastbourne.gov.uk/media/3673/Lewes-District-Council-Infrastructure-Funding-Statement-2022-23/pdf/Lewes_DC_IFS_2022_2023.pdf?m=1704362394550,https://www.lewes-eastbourne.gov.uk/article/1679/CIL-and-S106-Monitoring-Reports,local-authority: LEE,,,,01/04/2022,31/03/2023
ESX/3,Infrastructure Funding Statement,IFS,https://www.lewes-eastbourne.gov.uk/media/3674/Eastbourne-Borough-Council-Infrastructure-Funding-Statement-2022-23/pdf/Eastbourne_Infrastructure_Funding_Statement_2022-23.pdf?m=1704362393463,https://www.lewes-eastbourne.gov.uk/article/1679/CIL-and-S106-Monitoring-Reports,local-authority: EAS,,,,01/04/2022,31/03/2023
ESX/5,Infrastructure Funding Statement,IFS,https://rdcpublic.blob.core.windows.net/website-uploads/2023/12/IFS_2022_2023_FINAL_with_cover.pdf,https://www.rother.gov.uk/planning-and-building-control/planning-policy/engagement-and-monitoring-2/monitoring-2/,,,,,01/04/2022,31/03/2023
ESX/9,Infrastructure Funding Statement,IFS,https://www.wealden.gov.uk/UploadedFiles/IFS-2022-2023-FINAL.pdf,https://www.wealden.gov.uk/planning-and-building-control/planning-policy/infrastructure-funding-statement/,local-authority: WEA,,,,,
ESX/11,Infrastructure Funding Statement,IFS,https://www.hastings.gov.uk/content/AnnualInfrastructureFundingStatement/AnnualInfrastructureFundingStatement2022-23.pdf,https://www.hastings.gov.uk/planning/AnnualInfrastructureFundingStatement/,local-authority: HAS,,,,01/04/2022,31/03/2023
EAS/3,Infrastructure Funding Statement,IFS,https://www.lewes-eastbourne.gov.uk/media/3674/Eastbourne-Borough-Council-Infrastructure-Funding-Statement-2022-23/pdf/Eastbourne_Infrastructure_Funding_Statement_2022-23.pdf?m=1704362393463,https://www.lewes-eastbourne.gov.uk/article/1679/CIL-and-S106-Monitoring-Reports,local-authority: EAS,,,,01/04/2022,31/03/2023
EAT/2,Infrastructure Funding Statement,IFS,https://www.eastleigh.gov.uk/media/14246/infrastructure-funding-statement-2022-23.pdf,https://www.eastleigh.gov.uk/planning-and-building/planning-policy-and-implementation/local-plan/local-plan-monitoring,local-authority: EAT,,,,01/04/2022,31/03/2023
ELM/2,Infrastructure Funding Statement,IFS,https://www.elmbridge.gov.uk/sites/default/files/2023-12/2022%20to%202023%20Annual%20Infrastructure%20Funding%20Statement.pdf,https://www.elmbridge.gov.uk/planning/community-infrastructure-levy-cil/cil-strategic-infrastructure-projects,local-authority: ELM,,,,01/04/2022,31/03/2023
EPP/2,Infrastructure Funding Statement,IFS,https://www.eppingforestdc.gov.uk/wp-content/uploads/2023/12/INFRASTRUCTURE-FUNDING-STATEMENT-2022-23.pdf,https://www.eppingforestdc.gov.uk/planning-and-building/planning-policy/adopted-local-plan-march-2023/infrastructure-delivery/,local-authority: EPP,,,,01/04/2022,31/03/2023
EPS/2,Infrastructure Funding Statement,IFS,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/community-infrastructure-levy-cil/Final%20Infrastructure%20Funding%20Statement%202022%20to%2023.pdf,https://www.epsom-ewell.gov.uk/residents/planning/planning-policy/monitoring/infrastructure-funding-statement,local-authority: EPS,,,,01/04/2022,31/03/2023
ERE/2,Infrastructure Funding Statement,IFS,https://www.erewash.gov.uk/component/jdownloads/?task=download.send&id=501&catid=22&m=0&Itemid=435,https://www.erewash.gov.uk/planning-policy-section/infrastructure-funding-statement.html,local-authority: ERE,,,,01/04/2022,31/03/2023
ESS/2,Infrastructure Funding Statement,IFS,https://www.essex.gov.uk/sites/default/files/2024-02/Essex%20County%20Council%20Infrastructure%20Funding%202022%20to%202023%20-%20updated.pdf,https://www.essex.gov.uk/planning-land-and-recycling/planning-and-development/planning-advice-and-guidance/guidance,local-authority: ESS,,The Council received no funding from the Chelmsford Community Infrastructure Levy in 2022/23,,01/04/2022,31/03/2023
EXE/2,Infrastructure Funding Statement,IFS,https://exeter.gov.uk/media/tshdimje/infrastructure-funding-statement-23-24_accessible.pdf,https://exeter.gov.uk/planning-services/payments-from-developers/annual-infrastructure-funding-statement/,local-authority: EXE,,,,01/04/2023,31/03/2024
FAR/2,Infrastructure Funding Statement,IFS,http://www.fareham.gov.uk/pdf/planning/local_plan/FarehamBoroughCouncilInfrastructureFundingStatement2021-22.pdf,https://www.fareham.gov.uk/planning/local_plan/ifs.aspx,local-authority: FAR,,,,01/04/2021,31/03/2022
FEN/2,Infrastructure Funding Statement,IFS,https://www.fenland.gov.uk/media/21433/Infrastructure-Funding-Statement-2023-2024/pdf/Infrastructure_Funding_Statement__2023_2024.pdf?m=1726055044347,https://www.fenland.gov.uk/article/15672/Infrastructure-Funding-Statement,local-authority: FEN,,,,01/04/2023,31/03/2024
SHE/2,Infrastructure Funding Statement,IFS,https://www.folkestone-hythe.gov.uk/downloads/file/5312/infrastructure-funding-statement-adopted-2023,https://www.folkestone-hythe.gov.uk/planning/infrastructure-funding-statement,,,,,01/04/2022,31/03/2023
