reference,name,document-type,document-url,documentation-url,organisation,adopted-date,notes,entry-date,start-date,end-date
ARU/1,Arun CIL Charging Schedule January 2020,CIL,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n15245.pdf&ver=24112,https://www.arun.gov.uk/cil/,local-authority: ARU,15/01/2020,,,01/04/2020,
BAB/1,Community Infrastructure Levy Babergh Charging Schedule,CIL,https://www.babergh.gov.uk/documents/54707/115216/BDC-Charging-Schedule.pdf/e2108324-95f7-769f-10f6-dc6416a10b68?t=1684848074495,https://www.babergh.gov.uk/community-infrastructure-levy,local-authority: BAB,20/01/2016,,,11/04/2016,
BAI/1,,CIL,https://www.basildon.gov.uk/media/11983/Basildon-Council-Local-Development-Scheme-LDS-2024-2026/pdf/Basildon_Council_-_Local_Development_Scheme_LDS_2024_-_2026.pdf?m=1710840548847,,local-authority: BAI,,In Discussion,,,
BAN/1,Community Infrastructure Levy: A guide for parish and town councils,CIL,https://www.basingstoke.gov.uk/content/doclib/4157.pdf,https://www.basingstoke.gov.uk/cil,local-authority: BAN,22/03/2018,,,25/06/2018,
BAE/1,Infrastructure Levy Charging Schedule 2024,CIL,https://www.bassetlaw.gov.uk/media/4dhjsti3/charging-schedule.pdf,https://www.bassetlaw.gov.uk/planning-and-building/planning-services/community-infrastructure-levy-cil/what-is-a-community-infrastructure-levy/,local-authority: BAE,01/09/2013,,,01/06/2024,
BAS/1,Community Infrastructure Levy (CIL) Charging Schedule,CIL,https://www.bathnes.gov.uk/sites/default/files/2020-01/bnes_charging_schedule_i.pdf,https://www.bathnes.gov.uk/community-infrastructure-levy-cil-and-your-development,local-authority: BAS,06/04/2015,,,06/04/2015,
BDF/1,Community Infrastructure Levy Charging Schedule,CIL,https://edrms.bedford.gov.uk/OpenDocument.aspx?id=0XiC8qAFl9woNu%2fOdJg0rA%3d%3d&name=CIL%20Charging%20Schedule.pdf,https://www.bedford.gov.uk/planning-and-building-control/community-infrastructure-levy-cil/community-infrastructure-levy-cil,local-authority: BDF,01/04/2014,Has maps,,01/04/2014,
BIR/1,Community Infrastructure Levy Charging Schedule,CIL,https://www.birmingham.gov.uk/download/downloads/id/1272/cil_charging_schedule.pdf,https://www.birmingham.gov.uk/downloads/download/307/community_infrastructure_levy,local-authority: BIR,04/01/2016,,,04/01/2016,
BLA/1,,CIL,https://www.blaby.gov.uk/media/ijmn1e4t/planning-obligations-and-developer-contributions-spd-consultation-draft-march-2024.pdf,,local-authority: BLA,,On Hold,,,
KIN/1,Charging schedule,CIL,https://www.west-norfolk.gov.uk/info/20201/cil_charges_and_payments/543/charging_schedule,https://www.west-norfolk.gov.uk/info/20201/cil_charges_and_payments/,,15/02/2017,Schedule is a webpage not a pdf,,01/01/2024,
BPC/1,Bournemouth ,CIL,https://www.bcpcouncil.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy/bournemouth-community-infrastructure-levy,https://www.bcpcouncil.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy,local-authority: BPC,01/03/2016,,,01/01/2024,
BPC/2,Christchurch ,CIL,https://www.bcpcouncil.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy/christchurch-community-infrastructure-levy,https://www.bcpcouncil.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy,local-authority: BPC,01/01/2017,,,01/01/2024,
BPC/3,Poole ,CIL,https://www.bcpcouncil.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy/poole-community-infrastructure-levy,https://www.bcpcouncil.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy,local-authority: BPC,21/02/2019,,,01/01/2024,
BRC/1,Community Infrastructure Levy Charging Schedule,CIL,https://www.bracknell-forest.gov.uk/sites/default/files/2021-08/cil-charging-schedule.pdf,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/community-infrastructure-levy/about-community-infrastructure-levy,local-authority: BRC,06/04/2015,,,06/04/2015,
BRW/1,CIL Charging Schedule and Instalment Policy,CIL,https://www.brentwood.gov.uk/media/563,https://www.brentwood.gov.uk/cil,local-authority: BRW,01/01/2024,,,15/01/2024,
BNH/1,Charging schedule,CIL,https://www.brighton-hove.gov.uk/brighton-hove-city-council-community-infrastructure-levy-charging-schedule#tab--charging-schedule,https://www.brighton-hove.gov.uk/brighton-hove-city-council-community-infrastructure-levy-charging-schedule,local-authority: BNH,23/07/2020,,,05/09/2020,
